survey_id,taxa,area_m2,area_cm2,cover,composition,count,mean_area_m2,std_area_m2,min_area_m2,q1_area_m2,q2_area_m2,q3_area_m2,max_area_m2,mean_area_cm2,std_area_cm2,min_area_cm2,q1_area_cm2,q2_area_cm2,q3_area_cm2,max_area_cm2,percent_bleached,percent_dead,percent_healthy,density_m2,density_cm2,site_id,date,year
S1,Favia,0.026316679,263.1667908,0.000929261,0.117763824,3,0.008772226,0.008434982,0.000865974,0.00433257,0.007799166,0.012725352,0.017651538,87.72226359,84.34982032,8.659744592,43.32570432,77.99166405,127.2535231,176.5153821,0,0,1,0.105932203,1.06E-05,C-ADQ23-HI-01,06/05/2023,2023
S1,Plesiastrea,0.014811011,148.1101063,0.000522988,0.066277407,1,0.014811011,,0.014811011,0.014811011,0.014811011,0.014811011,0.014811011,148.1101063,,148.1101063,148.1101063,148.1101063,148.1101063,148.1101063,0,0,1,0.035310734,3.53E-06,C-ADQ23-HI-01,06/05/2023,2023
S1,Porites,0.162071768,1620.717675,0.005722873,0.725250746,208,0.000779191,0.000508657,5.42E-05,0.000411886,0.000695938,0.001000676,0.003119466,7.791911901,5.086567546,0.5416423,4.118859651,6.959376158,10.00676455,31.19466388,0,0,1,7.344632768,0.000734463,C-ADQ23-HI-01,06/05/2023,2023
S1,Siderastrea,0.02027052,202.7051967,0.000715767,0.090708022,29,0.000698983,0.000160516,0.000414986,0.00057941,0.000726351,0.000821888,0.001013802,6.98983437,1.605160151,4.149859987,5.794095669,7.263511598,8.218875527,10.13801776,0,0,1,1.024011299,0.000102401,C-ADQ23-HI-01,06/05/2023,2023
S2,Favia,0.053485299,534.8529949,0.001888605,0.298117734,7,0.007640757,0.012542234,0.001129499,0.001856028,0.003062418,0.004889787,0.035801752,76.40757069,125.4223443,11.29499021,18.5602761,30.62418054,48.89787462,358.0175227,0.09032928,0,0.90967072,0.247175141,2.47E-05,C-ADQ23-HI-01,09/08/2023,2023
S2,Plesiastrea,0.013119842,131.1984206,0.000463271,0.073127712,1,0.013119842,,0.013119842,0.013119842,0.013119842,0.013119842,0.013119842,131.1984206,,131.1984206,131.1984206,131.1984206,131.1984206,131.1984206,0,0,1,0.035310734,3.53E-06,C-ADQ23-HI-01,09/08/2023,2023
S2,Porites,0.079901375,799.0137505,0.002821376,0.445356334,128,0.000624229,0.00047531,3.84E-05,0.000301834,0.000532213,0.000800863,0.003070213,6.242294926,4.75310283,0.383639155,3.018344896,5.322134143,8.008634793,30.70213366,0.060679901,0,0.939320099,4.519774011,0.000451977,C-ADQ23-HI-01,09/08/2023,2023
S2,Siderastrea,0.032903473,329.0347275,0.001161846,0.18339822,29,0.001134603,0.002712114,0.000135103,0.000337177,0.000533838,0.000659969,0.014883416,11.34602508,27.12114012,1.351026423,3.371768981,5.338383526,6.599687004,148.8341617,0.066387334,0,0.933612666,1.024011299,0.000102401,C-ADQ23-HI-01,09/08/2023,2023
S4,Favia,0.018703273,187.032726,0.000675696,0.248584433,7,0.002671896,0.003534733,0.000455114,0.000961089,0.001854641,0.001952484,0.010566371,26.71896086,35.3473306,4.551138,9.610893,18.546408,19.524843,105.663708,0,0,1,0.252890173,2.53E-05,C-ADQ23-HI-01,11/02/2024,2024
S4,Porites,0.033047305,330.473052,0.001193906,0.439230385,59,0.000560124,0.000395075,5.46E-05,0.000273102,0.000454331,0.00074031,0.001909784,5.601238169,3.950751213,0.545598,2.731023,4.543308,7.403103,19.097838,0,0,1,2.13150289,0.00021315,C-ADQ23-HI-01,11/02/2024,2024
S4,Siderastrea,0.023488537,234.885366,0.000848574,0.312185182,27,0.000869946,0.002094455,9.81E-05,0.000319115,0.000377705,0.000623486,0.011266013,8.699458,20.94455242,0.981018,3.191148,3.777048,6.234858,112.660128,0,0,1,0.975433526,9.75E-05,C-ADQ23-HI-01,11/02/2024,2024
